time,open,high,low,close,SKEW �� CBOE: c,S5TW �� INDEX: c,PC �� USI: c,VIX �� TVC: c,Volume,Advance Decline Line
30/08/1994,47.64062,47.85937,47.57812,47.78125,115.14,,,11.86,36000,0
31/08/1994,47.70312,47.89062,47.59375,47.65625,112.19,,,11.97,356200,0
01/09/1994,47.5,47.53125,47.32812,47.5,114.01,,,11.86,294600,0
02/09/1994,47.71875,47.71875,47.21875,47.29687,115.12,,,11.4,99600,0
06/09/1994,47.26562,47.35937,47.125,47.3125,115.51,,,11.69,229800,0
07/09/1994,47.42187,47.42187,47.21875,47.26562,116.51,,,11.81,27900,0
08/09/1994,47.35937,47.5625,47.34375,47.5,116.57,,,11.86,284800,0
09/09/1994,47.03125,47.125,46.8125,47,117.34,,,13.6,488400,0
12/09/1994,47,47.0625,46.78125,46.85937,116.23,,,14.49,129400,0
13/09/1994,46.95312,47.125,46.85937,47,117.56,,,13.77,389200,0
14/09/1994,46.84375,47.10937,46.84375,47.04687,117.88,,,12.84,423500,0
15/09/1994,47.17187,47.64062,47.17187,47.64062,123.29,,,12.42,779800,0
16/09/1994,47,47.14062,46.84375,47.01562,119.94,,,13.54,571300,0
19/09/1994,47.125,47.32812,47.01562,47.0625,117.65,,,13.06,167300,0
20/09/1994,46.8125,46.85937,46.17187,46.17187,118.1,,,14.45,355600,0
21/09/1994,46.3125,46.3125,45.73437,46.17187,116.1,,,14.49,397500,0
22/09/1994,46.28125,46.28125,46.01562,46.0625,114.98,,,13.89,266400,0
23/09/1994,46.07812,46.17187,45.82812,45.90625,114.79,,,14.53,176600,0
26/09/1994,46.07812,46.17187,45.98437,46.14062,114.53,,,14.56,223000,0
27/09/1994,46.14062,46.26562,46,46.10937,113.03,,,14.13,479500,0
28/09/1994,46.35937,46.53125,46.32812,46.46875,114.38,,,13.25,324000,0
29/09/1994,46.46875,46.46875,46.09375,46.23437,113.57,,,13.97,195900,0
30/09/1994,46.21875,46.4375,46.17187,46.17187,113.81,,,14.28,5200,0
03/10/1994,46.20312,46.25,45.98437,46.0625,115.81,,,15.44,72600,0
04/10/1994,46.29687,46.29687,45.34375,45.375,113.6,,,16.66,84200,0
05/10/1994,45.29687,45.39062,45,45.39062,115.93,,,15.92,461900,0
06/10/1994,45.42187,45.45312,45.17187,45.25,116.57,,,16.24,345200,0
07/10/1994,45.25,45.57812,45.20312,45.45312,114.39,,,14.92,188700,0
10/10/1994,45.65625,46.01562,45.64062,45.9375,117.6,,,14.72,213600,0
11/10/1994,46.14062,46.75,46.14062,46.625,115.85,,,13.55,461400,0
12/10/1994,46.6875,46.75,46.57812,46.6875,116.61,,,14.51,162400,0
13/10/1994,47.21875,47.32812,46.79687,46.84375,118.82,,,14.9,1564500,0
14/10/1994,47,47.0625,46.6875,47.04687,116.93,,,13.71,72800,0
17/10/1994,47,47.0625,46.90625,46.95312,116.38,,,14.76,282300,0
18/10/1994,46.90625,46.90625,46.6875,46.84375,116.56,,,14.59,132100,0
19/10/1994,46.67187,47.23437,46.65625,47.0625,117.53,,,15.13,136700,0
20/10/1994,47.0625,47.0625,46.60937,46.75,116.83,,,15.99,290300,0
21/10/1994,46.625,46.6875,46.35937,46.5625,116.1,,,15.91,87800,0
24/10/1994,46.57812,46.76562,46.15625,46.17187,115.16,,,16.97,149600,0
25/10/1994,46.01562,46.3125,46,46.21875,115.28,,,16.13,91800,0
26/10/1994,46.39062,46.4375,46.17187,46.39062,114.91,,,15.7,201000,0
27/10/1994,46.5625,46.67187,46.45312,46.67187,115.56,,,15.67,210300,0
28/10/1994,46.76562,47.70312,46.76562,47.65625,116.94,,,14.56,192100,0
31/10/1994,47.54687,47.59375,47.46875,47.48437,113.87,,,14.56,36300,0
01/11/1994,47.28125,47.28125,46.9375,46.95312,115.96,,,14.84,435200,0
02/11/1994,46.8125,47.23437,46.6875,46.6875,113.48,,,15.34,115600,0
03/11/1994,46.84375,47.01562,46.78125,46.9375,115.63,,,15.58,87000,0
04/11/1994,47.15625,47.15625,46.32812,46.32812,113.46,,,16.75,124400,0
07/11/1994,46.3125,46.59375,46.3125,46.46875,115.1,,,17.37,115000,0
08/11/1994,46.625,46.98437,46.54687,46.82812,114.03,,,16.3,308300,0
09/11/1994,47.32812,47.32812,46.5,46.90625,113.97,,,16.42,318500,0
10/11/1994,46.9375,47.03125,46.54687,46.57812,114.51,,,16,172100,0
11/11/1994,46.51562,46.5625,46.28125,46.40625,113.8,,,16.5,302200,0
14/11/1994,46.60937,46.85937,46.60937,46.84375,116.23,,,16.68,181400,0
15/11/1994,46.79687,47.09375,46.32812,46.6875,116.5,,,16.66,316900,0
16/11/1994,46.76562,46.84375,46.60937,46.84375,115.54,,,15.56,106900,0
17/11/1994,46.875,46.875,46.34375,46.53125,113.8,,,15.38,104700,0
18/11/1994,46.54687,46.625,46.26562,46.46875,115.46,,,16,269300,0
21/11/1994,46.4375,46.57812,46,46,112.44,,,16.13,283100,0
22/11/1994,45.82812,46,45,45,108.47,,,17.24,483600,0
23/11/1994,45.03125,45.26562,44.60937,45.25,114.43,,,18.41,601600,0
25/11/1994,45.28125,45.53125,45.28125,45.46875,113.34,,,17.44,77300,0
28/11/1994,45.45312,45.6875,45.34375,45.67187,114.65,,,16.83,79900,0
29/11/1994,45.65625,45.75,45.5,45.65625,113.42,,,16.15,105500,0
30/11/1994,45.89062,45.95312,45.59375,45.59375,112.99,,,15.95,218800,0
01/12/1994,45.64062,45.64062,45.04687,45.14062,113.89,,,16.69,439000,0
02/12/1994,45.04687,45.5625,45.04687,45.5625,115.73,,,16.55,318500,0
05/12/1994,45.65625,45.8125,45.5,45.60937,115.3,,,16.1,139200,0
06/12/1994,45.4375,45.65625,45.35937,45.64062,114.25,,,16.05,249900,0
07/12/1994,45.35937,45.5,45.26562,45.3125,113.73,,,16.28,531900,0
08/12/1994,45.5,45.5625,44.75,44.875,114.74,,,17.23,261500,0
09/12/1994,44.875,45.07812,44.6875,45.04687,115.06,,,15.76,235900,0
12/12/1994,44.95312,45.34375,44.95312,45.34375,113.84,,,15.46,151100,0
13/12/1994,45.3125,45.53125,45.3125,45.51562,114.76,,,14.94,70900,0
14/12/1994,45.45312,45.95312,45.45312,45.75,116.75,,,13.03,203300,0
15/12/1994,45.8125,46.03125,45.8125,45.89062,117.66,,,12.87,130100,0
16/12/1994,45.67187,45.84375,45.625,45.75,115.63,,,12.79,266100,0
19/12/1994,45.75,45.84375,45.60937,45.8125,121.02,,,13.02,1120200,0
20/12/1994,45.85937,45.89062,45.67187,45.67187,116.62,,,12.98,675600,0
21/12/1994,45.70312,46.26562,45.70312,46.15625,117.7,,,12.05,544500,0
22/12/1994,46.15625,46.20312,45.96875,46.01562,117.88,,,12.42,222000,0
23/12/1994,45.98437,46.17187,45.98437,46.0625,118.4,,,11.82,125800,0
27/12/1994,46.21875,46.40625,46.1875,46.3125,117.58,,,12.07,95200,0
28/12/1994,46.35937,46.35937,45.96875,46.07812,119.13,,,12.81,358200,0
29/12/1994,46.25,46.25,46.0625,46.10937,116.89,,,12.86,220100,0
30/12/1994,46.20312,46.25,45.5625,45.5625,115.53,,,13.2,2209500,0
03/01/1995,45.70312,45.84375,45.6875,45.78125,116.76,,,14.25,324300,0
04/01/1995,45.98437,46,45.75,46,118.04,,,13.53,351800,0
05/01/1995,46.03125,46.10937,45.95312,46,116.94,,,13.5,89800,0
06/01/1995,46.09375,46.25,45.90625,46.04687,117.38,,,13.13,448400,0
09/01/1995,46.03125,46.09375,46,46.09375,115.93,,,13.33,36800,0
10/01/1995,46.20312,46.39062,46.14062,46.14062,118.67,,,12.52,229800,0
11/01/1995,46.29687,46.29687,45.8125,46.17187,116.07,,,12.15,222400,0
12/01/1995,46.125,46.21875,46.03125,46.1875,115.12,,,12.83,40300,0
13/01/1995,46.4375,46.73437,46.375,46.73437,115.5,,,11.1,170600,0
16/01/1995,46.71875,47.03125,46.71875,47.01562,117.66,,,11.14,105100,0
17/01/1995,46.92187,47.0625,46.85937,47.03125,117.52,,,11.79,89500,0
18/01/1995,47,47.07812,46.875,46.98437,118.65,,,11.57,84500,0
19/01/1995,46.82812,46.875,46.6875,46.71875,116.76,,,11.86,139100,0
20/01/1995,46.65625,46.67187,46.45312,46.54687,116.55,,,12.15,78700,0
23/01/1995,46.23437,46.6875,46.20312,46.6875,118.83,,,12.79,53700,0
24/01/1995,46.67187,46.75,46.64062,46.75,117.5,,,11.94,32400,0
25/01/1995,46.51562,47.04687,46.51562,46.875,117.61,,,11.46,15700,0
26/01/1995,46.84375,46.98437,46.75,46.92187,116.56,,,11.25,9800,0
27/01/1995,47.23437,47.23437,46.92187,47.10937,114.23,,,11.25,91200,0
30/01/1995,47.01562,47.04687,46.84375,46.90625,115.89,,,12.26,26600,0
31/01/1995,47,47.17187,46.92187,47.09375,115.43,,,11.96,127500,0
01/02/1995,47.15625,47.32812,47,47.07812,115.72,,,11.73,380200,0
02/02/1995,47.0625,47.35937,47.0625,47.35937,115.94,,,11.13,131700,0
03/02/1995,47.65625,48.10937,47.57812,48.03125,115.19,,,10.98,405100,0
06/02/1995,48.01562,48.375,47.96875,48.23437,114.26,,,11.22,405400,0
07/02/1995,48.3125,48.3125,48.14062,48.29687,114.3,,,11.17,702900,0
08/02/1995,48.23437,48.46875,48.20312,48.29687,111.1,,,11.42,521500,0
09/02/1995,48.21875,48.29687,48.125,48.29687,112.69,,,11.63,390700,0
10/02/1995,48.23437,48.35937,48.09375,48.35937,113.04,,,11.57,148300,0
13/02/1995,48.32812,48.46875,48.32812,48.375,114.16,,,11.41,79700,0
14/02/1995,48.53125,48.53125,48.25,48.4375,114.05,,,11.43,170200,0
15/02/1995,48.4375,48.76562,48.39062,48.70312,113.92,,,11.9,431500,0
