id,symbol,side,setup,open_date,open_price,qty,stop,chart_link,notes,close_date,close_price,mae_pct,mfe_pct,pnl_pct,r_multiple,duration_days,mrs_score_open,mrs_state_open,status,created_at
EQ_HIST_000,VRCA,Long,,2025-12-31,8.15526316315789,190.0,,,"Breaking out of a bototoming base, as well following the Heath Sector which is leading atm -TradersPro",2026-01-02,8.1501052631579,,,-0.06,,2.0,-0.7,MILD RISK-OFF,Closed,2026-07-20T00:00:00
EQ_HIST_001,DUOT,Long,,2025-12-31,11.2560606060606,165.0,,,"Break out on high volume, buy a pull back to the breakout level. Positive mometum in all higher TF",2026-01-05,10.03,,,-10.89,,5.0,-0.7,MILD RISK-OFF,Closed,2026-07-20T00:00:00
EQ_HIST_002,WLDN,Long,,2025-12-31,105.9446875,32.0,,,"Bounce of a bottoming base, break and retest of the level, multiple time frame squeezes",2026-01-06,105.73,,,-0.2,,6.0,-0.7,MILD RISK-OFF,Closed,2026-07-20T00:00:00
EQ_HIST_003,FSLR,Long,,2025-12-31,267.74,10.0,,,VCP with 4 bullish divergences holding 21 and 34EMAs,2026-01-06,268.1645,,,0.16,,6.0,-0.7,MILD RISK-OFF,Closed,2026-07-20T00:00:00
EQ_HIST_004,VRSN,Short,,2025-12-31,245.864834,50.0,,,"Addi to existing position, retracing to 50% pullback, berish stack, 4 diverg.",2026-01-06,245.47,,,0.16,,6.0,-0.7,MILD RISK-OFF,Closed,2026-07-20T00:00:00
EQ_HIST_005,PFSI,Long,,2025-12-31,127.294879142857,35.0,,,"Bounce off of 50 , 21ema and quarterly VWAP, momo green on all higher TF, XLF bouncing off support after sharp selloff",2026-01-09,142.064285714286,,,11.6,,9.0,-0.7,MILD RISK-OFF,Closed,2026-07-20T00:00:00
EQ_HIST_006,BFLY,Long,,2025-12-31,3.175,130.0,,,Breaking out of a bototoming vbase following the Heath Sector which is leading atm -TradersPro,2026-01-09,4.11,,,29.45,,9.0,-0.7,MILD RISK-OFF,Closed,2026-07-20T00:00:00
EQ_HIST_007,ACHV,Long,,2025-12-31,4.91,140.75,,,,2026-01-13,5.53360568383659,,,12.7,,13.0,-0.7,MILD RISK-OFF,Closed,2026-07-20T00:00:00
EQ_HIST_008,ACHV,Long,,2025-12-31,4.91,152.25,,,"VCP with DTL on vol, momo rilling higher. Green mometum all higher TF",2026-01-27,4.92149753694581,,,0.23,,27.0,-0.7,MILD RISK-OFF,Closed,2026-07-20T00:00:00
EQ_HIST_009,UNIT,Long,,2025-12-31,7.52,262.0,,,,2026-01-27,7.105,,,-5.52,,27.0,-0.7,MILD RISK-OFF,Closed,2026-07-20T00:00:00
EQ_HIST_010,MG,Long,,2025-12-31,13.095,160.0,,,,2026-01-30,14.02,,,7.06,,30.0,-0.7,MILD RISK-OFF,Closed,2026-07-20T00:00:00
EQ_HIST_011,KEYS,Long,,2025-12-31,215.6526316,5.0,,,,2026-02-24,300.0,,,39.11,,55.0,-0.7,MILD RISK-OFF,Closed,2026-07-20T00:00:00
EQ_HIST_012,RAIL,Long,,2025-12-31,12.3152793111111,45.0,,,,2026-03-06,12.71,,,3.21,,65.0,-0.7,MILD RISK-OFF,Closed,2026-07-20T00:00:00
EQ_HIST_013,ORCL,Short,,2025-12-31,163.37897175,4.0,,,,2026-04-14,166.345,,,-1.82,,104.0,-0.7,MILD RISK-OFF,Closed,2026-07-20T00:00:00
EQ_HIST_014,ARQT,Long,Bounce,2026-01-05,29.78,87.0,26.95,https://www.tradingview.com/x/vCAXAKzs/,"Bounce setup off R/S flip, mometum rising and green momo alignment",2026-01-12,26.85,,,-9.84,-1.04,7.0,-1.3,MILD RISK-OFF,Closed,2026-07-20T00:00:00
EQ_HIST_015,PLD,Long,Bounce,2026-01-05,129.67,54.0,126.0,https://www.tradingview.com/x/vr423Zzf/,"Breakout to ATH, pullback and higher lows. Holding 38.2 Fib and momo rolling higher. Strong Mometum alignment",2026-01-13,129.68,,,0.01,0.0,8.0,-1.3,MILD RISK-OFF,Closed,2026-07-20T00:00:00
EQ_HIST_016,REAL,Long,Base Breakout(down),2026-01-06,16.44,158.0,14.7,https://www.tradingview.com/x/LNSd8HU4/,"High base Break out at ATH, strong momentum",2026-01-30,15.1507974683544,,,-7.84,-0.74,24.0,-0.75,MILD RISK-OFF,Closed,2026-07-20T00:00:00
EQ_HIST_017,MG,Long,Base Breakout(down),2026-01-07,13.09,55.0,12.1,,"Positive mom across TF, C&H at ATH,mrising vol of way up and rejections on lower vol",2026-01-13,14.075,,,7.52,0.99,6.0,-1.2,MILD RISK-OFF,Closed,2026-07-20T00:00:00
EQ_HIST_018,GOOGL,Long,Low Cheat,2026-01-07,322.434,10.0,304.37,,Bouncing of Fib projection and break of Bull flag on rising volume. Green momo bars across TF.The best of the Mag7 group and at ATH,2026-01-20,322.86,,,0.13,0.02,13.0,-1.2,MILD RISK-OFF,Closed,2026-07-20T00:00:00
EQ_HIST_019,JNJ,Long,Low Cheat,2026-01-08,208.04,25.0,200.05,https://www.tradingview.com/x/hR6MQaCO/,W bottom and low cheat above DTL break. bounce off 2 x 1.61 Fib Symmerty,2026-01-14,218.85,,,5.2,1.35,6.0,-0.65,MILD RISK-OFF,Closed,2026-07-20T00:00:00
EQ_HIST_020,URBN,Long,Base Breakout(down),2026-01-09,81.6546153846154,39.0,75.6,https://www.tradingview.com/x/fGVKDAFQ/,"High Base Break out with strong momentum alignment. 
W squeeze in play",2026-01-12,71.465,,,-12.48,-1.68,3.0,0.15,NEUTRAL,Closed,2026-07-20T00:00:00
EQ_HIST_021,UNIT,Long,Base Breakout(down),2026-01-09,7.515,88.0,6.9,https://www.tradingview.com/x/TE2FLj62/,"Trend resum and froming a rounding base, setting up a potential stage 2 uptrend. W sueeze in play with momo rising",2026-01-13,8.025,,,6.79,0.83,4.0,0.15,NEUTRAL,Closed,2026-07-20T00:00:00
EQ_HIST_022,GLDD,Long,Bounce,2026-01-12,13.32,416.0,12.85,https://www.tradingview.com/x/R4mcq9Ew/,Bounce of flags bottom and R/S flip. Squeeze and momo rolling higher. Strong momentum alignment,2026-01-15,14.66,,,10.06,2.85,3.0,-1.55,RISK-OFF,Closed,2026-07-20T00:00:00
EQ_HIST_023,SMTC,Long,Base Breakout(down),2026-01-12,77.79,25.0,70.81,,High base breakout with rising momentum and vol. SMH at ATH. Weekly Squeeze in play,2026-02-04,78.21432,,,0.55,0.06,23.0,-1.55,RISK-OFF,Closed,2026-07-20T00:00:00
EQ_HIST_024,AXG,Long,Bounce,2026-01-14,4.23892941176471,510.0,3.81,,,2026-01-20,4.21078431372549,,,-0.66,-0.07,6.0,0.25,NEUTRAL,Closed,2026-07-20T00:00:00
EQ_HIST_025,CLMT,Long,Base Breakout(down),2026-01-15,20.73,119.0,19.17,https://www.tradingview.com/x/uQ0jBuYn/,"Oi in play, high base break break out with momo rolling higher",2026-02-04,24.5228571428571,,,18.3,2.43,20.0,0.2,NEUTRAL,Closed,2026-07-20T00:00:00
EQ_HIST_026,DSP,Long,Base Breakout(down),2026-01-21,12.49,196.0,11.44,https://www.tradingview.com/x/UsiQpGdz/,Exit from a bottom base and pull offering an additional based break. Squeeze and mometum rolling higher,2026-02-03,11.5,,,-7.93,-0.94,13.0,0.0,NEUTRAL,Closed,2026-07-20T00:00:00
EQ_HIST_027,KEYS,Long,Base Breakout(down),2026-01-21,215.6,14.0,204.88,,"Big gap on E, pullback shaje out, VWAo reclaming and high base break above ATH",2026-02-12,239.67,,,11.16,2.25,22.0,0.0,NEUTRAL,Closed,2026-07-20T00:00:00
