date,spy,vix,skew,pc_ratio,pc_sma10,pc_sma20,pc_sma50,sma50,ext_raw,mom_raw,adl_level,adl_roc20,b50_raw,vix_phi,ext_phi,mom_phi,skew_phi,adl_phi,b50_phi,spike_flag,compressed,trigger_days,vix_score,ext_score,mom_score,adl_score,b50_score,pc_score,skew_score,vix_state,ext_state,mom_state,adl_state,b50_state,pc_state,skew_state,mrs_score,spx,zero_gamma,gamma_score,gamma_state,b20_pct,b50_pct,b20_phi,b20_score,b20_state,volume,price_60d_chg,vol_60d_chg,vol_divergence,vol_score,vol_state
2005-05-10,116.60001,14.91,,,,,,116.60001,0.0,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,74613500.0,,,0,0.0,No data
2005-05-11,117.24001,14.45,,,,,,116.92000999999999,0.002736913895234934,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,91647400.0,,,0,0.0,No data
2005-05-12,115.95,16.12,,,,,,116.59667333333334,-0.005546241713814529,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,95086800.0,,,0,0.0,No data
2005-05-13,115.72,16.31999,,,,,,116.377505,-0.005649760235021368,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,85267000.0,,,0,0.0,No data
2005-05-16,116.8,15.68,,,,,,116.46200400000001,0.0029021997595025904,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,49207000.0,,,0,0.0,No data
2005-05-17,117.58,14.57,,,,,,116.64833666666668,0.007986940576749346,0.04832666666668217,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,61071800.0,,,0,0.0,No data
2005-05-18,118.78999,13.63,,,,,,116.95428714285715,0.015695900526507225,0.03427714285716377,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,77944900.0,,,0,0.0,No data
2005-05-19,119.28999,13.32,,,,,,117.24625,0.01743117583718029,0.6495766666666611,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,61768100.0,,,0,0.0,No data
2005-05-20,119.12,13.14,,,,,,117.45444444444443,0.014180438751667444,1.0769394444444345,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,46345500.0,,,0,0.0,No data
2005-05-23,119.78,12.95,,,,,,117.68699999999998,0.01778446217509171,1.224995999999976,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,51047900.0,,,0,0.0,No data
2005-05-24,119.5,12.69,,,,,,117.85181818181817,0.01398520484121052,1.2034815151514948,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,50654100.0,,,0,0.0,No data
2005-05-25,119.41,12.58,,,,,,117.98166666666667,0.012106400711974974,1.0273795238095147,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,47608800.0,,,0,0.0,No data
2005-05-26,120.05,12.24,,,,,,118.14076923076922,0.016160642779474335,0.8945192307692196,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,43256200.0,,,0,0.0,No data
2005-05-27,120.25,12.15,,,,,,118.29142857142857,0.016557171151152145,0.8369841269841345,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,24596100.0,,,0,0.0,No data
2005-05-31,119.48,13.29,,,,,,118.37066666666666,0.009371691184753029,0.6836666666666815,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,43377200.0,,,0,0.0,No data
2005-06-01,120.5,12.36,,,,,,118.50375,0.016845458477052443,0.6519318181818221,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,69611000.0,,,0,0.0,No data
2005-06-02,120.75999,11.84,,,,,,118.63647,0.017899386251124964,0.6548033333333336,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,39704500.0,,,0,0.0,No data
2005-06-03,120.14999,12.15,,,,,,118.72055444444443,0.012040337599876008,0.5797852136752084,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,60999400.0,,,0,0.0,No data
2005-06-06,120.03999,12.28,,,,,,118.78999842105263,0.01052270052666187,0.4985698496240616,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,36046400.0,,,0,0.0,No data
2005-06-07,120.13,12.39,,,,,,118.8569985,0.010710362166852063,0.4863318333333382,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,66501300.0,,,0,0.0,No data
2005-06-08,119.91,12.7,,,,,,118.90714142857144,0.008433964178938632,0.40339142857143884,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,46881200.0,,,0,0.0,No data
2005-06-09,120.48,12.08,,,,,,118.978635,0.012618778152901208,0.3421649999999943,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,56653300.0,,,0,0.0,No data
2005-06-10,120.2,11.96,,,,,,119.03173782608695,0.009814711565582248,0.3111833816425218,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,36465300.0,,,0,0.0,No data
2005-06-13,120.58,11.65,,,,,,119.09624874999999,0.01245842136568564,0.3062503289473568,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,49383200.0,,,0,0.0,No data
2005-06-14,120.86,11.79,,,,,,119.1667988,0.014208665643873991,0.30980029999999203,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,33857100.0,,,0,0.0,No data
2005-06-15,121.09,11.46,,,,,,119.24076807692308,0.01550838654346788,0.3336266483516397,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,53195600.0,,,0,0.0,No data
2005-06-16,121.39999,11.15,,,,,,119.32073925925926,0.017425727946781874,0.34210425925925847,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,46564500.0,,,0,0.0,No data
2005-06-17,121.36,11.48,,,,,,119.39357,0.01647014994191063,0.3618321739130437,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,51529400.0,,,0,0.0,No data
2005-06-20,121.39999,11.47,,,,,,119.46275689655172,0.01621620958509954,0.36650814655173747,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,41019400.0,,,0,0.0,No data
2005-06-21,121.47,11.08,,,,,,119.52966500000001,0.016233083226661685,0.36286620000001335,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,39879800.0,,,0,0.0,No data
2005-06-22,121.57001,11.05,,,,,,119.59548258064517,0.01651005018541041,0.3547145037220929,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,46310100.0,,,0,0.0,No data
2005-06-23,119.86,12.13,,,,,,119.60374875,0.0021425018252198003,0.28300949074073856,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,62185600.0,,,0,0.0,No data
2005-06-24,118.98,12.18,,,,,,119.58484727272727,-0.005057892254090055,0.19127727272727668,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,58572500.0,,,0,0.0,No data
2005-06-27,119.14999,12.52,,,,,,119.57205735294119,-0.003529815930952552,0.1093004563894624,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,48183800.0,,,0,0.0,No data
2005-06-28,120.14999,11.58,,,,,,119.58856971428571,0.004694598213320932,0.05890471428570265,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,41174200.0,,,0,0.0,No data
2005-06-29,119.83,11.77,,,,,,119.5952761111111,0.0019626518414558565,-0.00020646953406355806,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,42316500.0,,,0,0.0,No data
2005-06-30,119.17999,12.04,,,,,,119.58405216216215,-0.003378896724575106,-0.019696587837842117,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,62288800.0,,,0,0.0,No data
2005-07-01,119.53,11.4,,,,,,119.58262973684211,-0.0004401118871354965,-0.002217535885165489,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,49737500.0,,,0,0.0,No data
2005-07-05,120.49001,11.68,,,,,,119.60589589743589,0.007391893985913999,0.03383854449469936,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,51549000.0,,,0,0.0,No data
2005-07-06,119.48,12.27,,,,,,119.6027485,-0.0010263016656343825,0.014178785714292985,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,52363600.0,,,0,0.0,No data
2005-07-07,119.95,12.49,,,,,,119.61121804878049,0.0028323593451021678,0.0159419376693819,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,103268800.0,,,0,0.0,No data
2005-07-08,121.32001,11.45,,,,,,119.65190357142858,0.013941327958694872,0.06785140926642441,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,64491200.0,,,0,0.0,No data
2005-07-11,121.94,11.28,,,,,,119.70511511627907,0.018669919673440873,0.12248537943696647,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,49688300.0,,,0,0.0,No data
2005-07-12,122.25999,10.95,,,,,,119.76318045454545,0.0208478894429677,0.15728455710956268,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,0.0,,,0.0,No data,,,,0.0,No data,51871100.0,,,0,0.0,No data
