date,close,vix,volume,adl,ext_phi,mom_phi,vix_phi,adl_phi,ext_score,mom_score,vix_score,adl_score,ext_state,mom_state,vix_state,adl_state,mrs_score,regime
1999-03-10,51.0625,24.79,5232202,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-03-11,51.3125,24.37,9688602,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-03-12,50.0625,24.84,8743602,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-03-15,51.5,25.24,6369000,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-03-16,51.9375,25.15,4905800,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-03-17,51.5625,25.57,3965000,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-03-18,52.5625,24.13,4848400,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-03-19,51.21875,24.32,7160400,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-03-22,50.59375,25.0,5024800,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-03-23,48.8125,27.27,10962398,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-03-24,50.46875,26.6,8447000,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-03-25,52.3125,24.33,8133800,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-03-26,51.75,24.04,8256204,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-03-29,53.625,23.54,5113800,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-03-30,53.25,22.73,4940600,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-03-31,52.46875,23.26,8256602,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-04-01,53.5625,22.06,8715796,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-04-05,55.5,22.19,5697200,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-04-06,55.609375,22.65,7522400,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-04-07,55.03125,22.81,11923602,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-04-08,55.46875,22.59,7952400,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-04-09,55.8125,21.77,4946800,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-04-12,55.4375,21.93,10934000,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-04-13,54.6875,22.73,9962204,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-04-14,52.8125,24.94,21253796,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-04-15,53.53125,23.93,17650602,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-04-16,51.96875,23.9,17274000,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-04-19,49.53125,26.42,19460602,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-04-20,50.65625,25.02,17413602,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-04-21,53.15625,23.31,10940398,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-04-22,54.59375,22.62,13630602,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-04-23,55.3125,22.76,7064400,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-04-26,56.585935,23.53,5421000,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-04-27,55.71875,23.36,16482796,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-04-28,53.8125,24.4,7676800,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-04-29,53.375,25.06,19148204,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-04-30,53.71875,25.07,15295204,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-05-03,53.4375,24.15,11109796,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-05-04,52.59375,25.62,15428398,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-05-05,54.1875,25.19,12642602,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-05-06,52.21875,27.44,15173398,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-05-07,52.96875,25.36,16430398,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-05-10,53.5,26.62,10604204,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-05-11,54.34375,25.62,8800796,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-05-12,55.46875,26.13,12507398,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-05-13,54.4375,25.02,9864000,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-05-14,53.40625,26.86,12205398,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-05-17,54.367185,27.28,9906796,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-05-18,54.125,27.26,9267796,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-05-19,54.875,25.08,7985600,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-05-20,53.367185,24.46,5997200,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-05-21,52.875,24.4,10471602,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-05-24,51.53125,27.62,9569796,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-05-25,49.84375,28.9,17771204,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-05-26,51.234375,27.57,26772000,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-05-27,51.1875,28.12,23334796,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-05-28,52.03125,25.39,12969796,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-06-01,50.875,26.62,6960200,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-06-02,51.734375,26.21,11996602,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-06-03,51.0,26.2,11147796,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-06-04,52.5625,23.43,12987204,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-06-07,53.65625,23.78,11491796,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-06-08,52.3125,24.02,8134800,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-06-09,53.1875,23.9,8384398,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-06-10,52.578125,25.32,9392398,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-06-11,51.78125,25.9,16567602,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-06-14,50.804685,26.51,14136796,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-06-15,51.5625,25.91,9147796,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-06-16,54.210935,22.4,15060204,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-06-17,54.8125,21.95,16278204,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-06-18,55.0625,21.75,5392800,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-06-21,56.710935,21.81,10565204,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-06-22,55.0,21.7,10862796,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-06-23,55.867185,21.32,9607000,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-06-24,54.75781,23.06,14988796,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-06-25,54.6875,21.76,8635602,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-06-28,55.984375,22.63,7666200,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-06-29,56.75,22.51,9000398,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-06-30,57.625,21.09,19467602,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-07-01,58.015625,19.69,6822600,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-07-02,58.75,18.66,3302000,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-07-06,58.375,20.73,8794796,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-07-07,58.46875,20.35,10520000,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-07-08,59.25,19.47,11225000,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-07-09,59.84375,17.96,4191200,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-07-12,59.53125,19.73,7816200,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-07-13,59.25,19.95,6230000,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-07-14,60.25781,19.71,6909400,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-07-15,60.8125,18.68,6539800,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-07-16,61.375,17.42,4913800,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-07-19,60.75,19.07,6833000,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-07-20,58.40625,21.79,14837398,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-07-21,58.6875,21.46,10980398,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-07-22,57.19531,23.05,15148398,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-07-23,57.28125,23.32,12115000,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-07-26,55.875,24.98,10720000,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-07-27,57.0,23.23,13732796,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-07-28,58.117185,22.85,10161796,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-07-29,56.875,24.52,13033796,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-07-30,56.59375,24.64,10947398,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-08-02,56.4375,25.59,9642398,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-08-03,56.07031,26.27,13005000,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-08-04,55.054685,27.4,13227602,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-08-05,55.929685,27.01,18695204,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-08-06,55.328125,26.6,12392204,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-08-09,54.617185,27.66,7983400,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-08-10,54.125,28.45,16767204,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-08-11,55.90625,25.39,13101398,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-08-12,55.25,25.03,12715000,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-08-13,57.65625,22.31,14342602,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-08-16,58.117185,23.07,11470602,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-08-17,58.40625,21.67,11408398,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-08-18,57.75,23.3,7035200,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-08-19,57.0625,24.39,10157796,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-08-20,57.96875,22.95,6920800,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-08-23,59.8125,22.55,9652000,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-08-24,60.21875,22.4,13891398,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-08-25,61.5,20.96,11352000,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-08-26,60.47656,21.21,9753000,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
1999-08-27,59.875,21.83,9635398,,,,,,0.0,0.0,0.0,0.0,No data,No data,No data,No data,0.0,NEUTRAL
